B06012_001E,B06012_002E,state,county
11473.0,1376.0,17,185
10737.0,1747.0,17,035
520150.0,57312.0,17,089
5047.0,591.0,17,009
11757.0,1163.0,17,123
32042.0,4356.0,17,021
54979.0,15533.0,17,077
17253.0,2667.0,17,181
23958.0,5334.0,17,165
56025.0,6388.0,17,195
98753.0,18001.0,17,037
9407.0,775.0,17,079
675615.0,51976.0,17,197
19555.0,2223.0,17,041
12899.0,2250.0,17,061
4111.0,774.0,17,069
47777.0,8418.0,17,095
14623.0,2750.0,17,127
132301.0,10485.0,17,179
38857.0,5139.0,18,061
30280.0,3839.0,18,169
20843.0,3317.0,18,075
2292.0,241.0,38,001
2277.0,306.0,38,027
8500.0,634.0,38,057
5303.0,487.0,38,073
4337.0,1646.0,38,085
1843.0,175.0,38,033
2255.0,317.0,38,095
2290.0,215.0,38,023
3820.0,221.0,38,081
11181.0,2471.0,35,051
16850.0,3796.0,35,053
18386.0,4755.0,35,041
208689.0,57626.0,35,013
17799.0,904.0,35,028
39623.0,9275.0,35,039
26871.0,8093.0,35,047
73938.0,17177.0,35,061
14793.0,4604.0,35,057
666214.0,124678.0,35,001
62136.0,15439.0,35,035
25604.0,7005.0,35,006
1949.0,389.0,35,011
3828.0,542.0,35,019
3538.0,809.0,35,003
1400996.0,427715.0,36,005
449650.0,68285.0,36,067
73527.0,11865.0,36,019
31921.0,3952.0,36,099
98085.0,5061.0,36,079
62364.0,8738.0,36,043
105958.0,10898.0,36,069
96532.0,14558.0,36,101
4665.0,526.0,36,041
125837.0,24410.0,36,013
2584686.0,587518.0,36,047
49200.0,5405.0,36,107
39087.0,6089.0,36,073
220619.0,14193.0,36,091
59885.0,7605.0,36,021
26757.0,3750.0,36,049
945758.0,92600.0,36,119
44075.0,6987.0,36,025
48596.0,10014.0,36,057
467740.0,60530.0,36,085
99505.0,19107.0,36,089
90345.0,18133.0,36,109
